name,land_size,latitude,longitude,distance_bts,distance_mrt,land_price
ถนนเพลินจิต,835,13.74352175407858,100.54530469659883,2.889749271629884,2.5982930876194725,685799.9422863467
ถนนเพลินจิต,507,13.74173815015426,100.54489003993294,2.694588641220977,2.7708239371749084,535041.5877839354
ถนนเพลินจิต,448,13.742688873197936,100.54726606532508,2.915497673138528,2.762124809326372,841248.7751408601
ถนนเพลินจิต,442,13.745418312301185,100.5444928317584,3.040070846116588,2.371142624739804,1017573.7663611214
ถนนเพลินจิต,691,13.743027320130471,100.5459809843874,2.8765679677776474,2.675053751386608,971642.1074210558
ถนนเพลินจิต,413,13.745027057979843,100.54631890674104,3.0882225817959634,2.484033945254136,697337.1428967469
ถนนเพลินจิต,358,13.742454025245753,100.54614880355604,2.830603328582366,2.740786285573624,596652.2585673967
ถนนเพลินจิต,374,13.74420773525571,100.54548172652513,2.9659344915271206,2.533787551692279,620683.699665336
ถนนเพลินจิต,752,13.741640184448295,100.54681385403892,2.7913083201662907,2.850723002747732,607701.5564953341
ถนนเพลินจิต,798,13.741950369106908,100.54629314546868,2.790711159905815,2.7984253568882664,669102.2325345118
ถนนเพลินจิต,935,13.74544932502817,100.5457154610213,3.099895599886365,2.415490775038904,659476.4308944193
ถนนเพลินจิต,206,13.743603516549946,100.54383755350383,2.8279686098728742,2.5401121822153496,508678.7582271211
ถนนเพลินจิต,366,13.742736268213234,100.54567818730251,2.832467543769479,2.693763092570668,798768.178764296
ถนนเพลินจิต,666,13.74240423135338,100.543448716644,2.689893279997246,2.6564672211013085,644597.1862686139
ถนนเพลินจิต,237,13.745327861593108,100.54575989826024,3.0900306116955383,2.429744712546237,708524.0544017891
ถนนเพลินจิต,867,13.743853776798607,100.54368387009082,2.8463204428694624,2.508849228438768,1061865.6791064625
ถนนเพลินจิต,817,13.741705976606784,100.54376252440665,2.6350157067089195,2.739872704163026,615297.1110758005
ถนนเพลินจิต,832,13.745562782577297,100.5460985140382,3.129772312017637,2.420176222381288,647463.8379267476
ถนนเพลินจิต,757,13.742865379601282,100.54403247209784,2.763061757984534,2.624400793246087,1029688.2291196372
ถนนเพลินจิต,957,13.743247537066445,100.54506898692752,2.8510656358917803,2.61839677980219,594490.6530932615
ถนนเพลินจิต,425,13.74371335387124,100.54389655175522,2.841674812264884,2.5302996098328623,599316.064238499
ถนนเพลินจิต,555,13.742465367634653,100.5466369968399,2.8587136126216244,2.7588183211397164,746150.644604107
ถนนเพลินจิต,953,13.744207495769578,100.5472960441833,3.0607218949387014,2.61007159838481,932383.8133759229
ถนนเพลินจิต,190,13.741842965114,100.54720577934933,2.833125589728197,2.845796289570357,884489.8205701272
ถนนเพลินจิต,694,13.743611453068546,100.54347753756296,2.8127468950909,2.52844976056295,709803.6819499338
ถนนเพลินจิต,380,13.742677132851728,100.54671991142794,2.883399361741083,2.7404602454352305,787617.0110455147
ถนนเพลินจิต,800,13.743183216250197,100.54506625198728,2.844614554513876,2.625025762230083,695872.5412547018
ถนนเพลินจิต,901,13.742579569665116,100.54596022572969,2.8323937471528264,2.720594144107367,841248.7751408601
ถนนเพลินจิต,868,13.743097679888834,100.54376657530412,2.7739543698819182,2.5916751721277254,991143.9172050676
ถนนเพลินจิต,407,13.744437455296255,100.54716300711743,3.075438721568476,2.58093892426917,571500.2497701744
ถนนเพลินจิต,363,13.743816942205475,100.54483378151056,2.895725250520272,2.550546040634225,709386.3732453365
ถนนเพลินจิต,997,13.745282621030704,100.54558788258396,3.077235998276963,2.4273102421531902,780067.029792531
ถนนเพลินจิต,755,13.745529334961182,100.5464131814922,3.14213031043907,2.437362666320733,859993.7102507948
