Land_Size,Dist_Transit,Latitude,Longitude,Dist_CBD,Dist_BTS,Dist_MRT,Dist_Offices,Dist_Condos,Dist_Tourist,Year,Land_Price,Inflation,Interest_Rate
835,400,13.74352175407858,100.54530469659883,1.362174322923238,2.889749271629884,2.5982930876194725,1.7970372696125827,1.9584564248831184,5.913873518029768,2021,685799.9422863467,1.23,2.0
507,400,13.74173815015426,100.54489003993294,1.3794428883491754,2.694588641220977,2.7708239371749084,1.6008452675364986,1.8935667534380456,5.907164914258085,2021,535041.5877839354,1.23,2.0
448,400,13.742688873197936,100.54726606532508,1.5904385149641405,2.915497673138528,2.762124809326372,1.8226245001931345,1.7318652195852091,6.13894762525308,2021,841248.7751408601,1.23,2.0
442,200,13.745418312301185,100.5444928317584,1.241565526984357,3.040070846116588,2.371142624739804,1.9541374087231045,2.152871242801715,5.794387622400187,2021,1017573.7663611214,1.23,2.0
691,100,13.743027320130471,100.5459809843874,1.4464980043398488,2.8765679677776474,2.675053751386608,1.7824749815774712,1.867208875367488,5.995491230118404,2021,971642.1074210558,1.23,2.0
413,100,13.745027057979843,100.54631890674104,1.4422989151325474,3.0882225817959634,2.484033945254136,1.995043759467552,1.9719224592044484,5.996010959280143,2021,697337.1428967469,1.23,2.0
358,500,13.742454025245753,100.54614880355604,1.4814307763360777,2.830603328582366,2.740786285573624,1.7364795369823314,1.8170256135784308,6.024999481249704,2021,596652.2585673967,1.23,2.0
374,100,13.74420773525571,100.54548172652513,1.3653628171671977,2.9659344915271206,2.533787551692279,1.8736649985868288,1.986812408795142,5.920168096877589,2021,620683.699665336,1.23,2.0
752,100,13.741640184448295,100.54681385403892,1.577980949244423,2.7913083201662907,2.850723002747732,1.6990215168436813,1.7081281776824098,6.1130892742488,2021,607701.5564953341,1.23,2.0
798,100,13.741950369106908,100.54629314546868,1.513512250284217,2.790711159905815,2.7984253568882664,1.696981885773723,1.7740762436749749,6.051070339099923,2021,669102.2325345118,1.23,2.0
935,300,13.74544932502817,100.5457154610213,1.3730827697797294,3.099895599886365,2.415490775038904,2.008753848229039,2.051942127408372,5.9248820161346885,2021,659476.4308944193,1.23,2.0
206,400,13.743603516549946,100.54383755350383,1.206084297714293,2.8279686098728742,2.5401121822153496,1.7413193889126446,2.09619119628706,5.756042695845017,2021,508678.7582271211,1.23,2.0
366,300,13.742736268213234,100.54567818730251,1.4236804210189582,2.832467543769479,2.693763092570668,1.7384682877362896,1.876723510990272,5.969158422262046,2021,798768.178764296,1.23,2.0
666,200,13.74240423135338,100.543448716644,1.207364128706301,2.689893279997246,2.6564672211013085,1.6024563765484672,2.065725698469548,5.739585521595192,2021,644597.1862686139,1.23,2.0
237,100,13.745327861593108,100.54575989826024,1.3789543885752975,3.0900306116955383,2.429744712546237,1.9985661629075944,2.039640184488156,5.931484822008102,2021,708524.0544017891,1.23,2.0
867,300,13.743853776798607,100.54368387009082,1.183153840195532,2.8463204428694624,2.508849228438768,1.761239439515944,2.1250331349793044,5.734872092605911,2021,1061865.6791064625,1.23,2.0
817,200,13.741705976606784,100.54376252440665,1.2685670821377737,2.6350157067089195,2.739872704163026,1.5443774354103013,1.999844025317618,5.78863767893777,2021,615297.1110758005,1.23,2.0
832,500,13.745562782577297,100.5460985140382,1.4135275761164248,3.129772312017637,2.420176222381288,2.037688536762052,2.02857416091746,5.964244676812156,2021,647463.8379267476,1.23,2.0
757,500,13.742865379601282,100.54403247209784,1.2495017639682815,2.763061757984534,2.624400793246087,1.6736659556458628,2.035770203146328,5.791635801859525,2021,1029688.2291196372,1.23,2.0
957,500,13.743247537066445,100.54506898692752,1.3449157660625637,2.8510656358917803,2.61839677980219,1.7585899203701734,1.962791272225954,5.894090526052641,2021,594490.6530932615,1.23,2.0
425,400,13.74371335387124,100.54389655175522,1.2092219302998817,2.841674812264884,2.5302996098328623,1.7549613217779654,2.097286221126202,5.76020679661103,2021,599316.064238499,1.23,2.0
555,200,13.742465367634653,100.5466369968399,1.531621026336344,2.8587136126216244,2.7588183211397164,1.7650097456931644,1.7736157853237844,6.07662328526639,2021,746150.644604107,1.23,2.0
953,300,13.744207495769578,100.5472960441833,1.558885327320769,3.0607218949387014,2.61007159838481,1.9666399432318515,1.8326802291716653,6.113967906555772,2021,932383.8133759229,1.23,2.0
